,class,x-box,y-box,width,onpix
240,0,4,9,5,3
241,0,4,5,7,4
242,0,4,4,5,3
243,0,4,4,5,3
244,0,3,4,4,3
245,0,10,14,11,5
246,0,5,7,7,9
247,0,10,13,10,5
248,0,6,7,8,8
249,0,4,10,5,4
250,0,6,11,8,11
251,0,3,2,5,4
252,0,4,8,4,3
253,0,4,7,6,6
254,0,4,9,4,5
255,0,6,5,8,7
256,0,6,7,8,6
257,0,3,3,4,3
258,0,4,5,7,4
259,0,3,3,5,3
260,0,6,9,9,11
261,0,6,7,9,6
262,0,5,6,8,4
263,0,4,4,7,4
264,0,3,6,4,4
265,0,4,9,5,5
266,0,4,7,6,6
267,0,7,8,9,10
268,0,10,14,12,7
269,0,1,0,2,0
270,0,4,4,5,3
271,0,4,7,5,3
272,0,5,8,7,7
273,0,4,6,5,4
274,0,5,5,6,4
275,0,8,10,8,4
276,0,7,8,10,11
277,0,6,9,8,9
278,0,8,11,11,8
279,0,4,9,7,9
280,0,3,2,5,4
281,0,2,3,4,2
282,0,5,7,9,10
283,0,4,8,6,6
284,0,6,10,8,6
285,0,5,9,7,7
286,0,4,7,6,5
287,0,10,9,10,4
288,0,3,1,4,1
289,0,5,10,6,6
290,0,5,10,7,4
291,0,9,14,11,7
292,0,4,7,6,5
293,0,4,5,8,4
294,0,3,4,6,3
295,0,6,10,9,9
296,0,4,8,6,5
297,0,5,10,8,6
298,0,5,7,7,9
299,0,4,5,8,4
300,0,4,7,8,8
301,0,4,9,5,6
302,0,4,8,5,3
303,0,5,10,6,4
304,0,5,2,6,4
305,0,7,6,10,10
306,0,5,10,7,8
307,0,3,3,6,3
308,0,5,8,8,6
309,0,6,10,7,4
310,0,4,4,6,3
311,0,3,4,4,3
312,0,7,10,12,15
313,0,5,11,8,12
314,0,3,5,6,4
315,0,5,5,6,4
316,0,4,2,5,4
317,0,6,9,9,7
318,0,4,4,6,3
319,0,7,8,10,11
320,0,2,1,3,2
321,0,4,6,5,4
322,0,6,10,8,7
323,0,6,10,9,8
324,0,5,4,6,3
325,0,8,10,12,9
326,0,2,1,2,1
327,0,5,10,6,6
328,0,3,3,5,2
329,0,8,10,8,4
330,0,6,4,6,4
331,0,6,11,9,12
332,0,7,11,9,10
333,0,6,6,8,8
334,0,5,9,6,3
335,0,2,1,3,2
336,0,1,0,2,0
337,0,4,5,5,4
338,0,6,11,9,12
339,0,4,4,6,4
340,0,3,3,5,2
341,0,6,9,7,4
342,0,6,9,7,3
343,0,4,6,5,4
344,0,2,6,3,2
345,0,6,10,8,9
346,0,5,5,8,5
347,0,6,8,8,6
348,0,5,7,7,6
349,0,6,9,8,4
350,0,9,12,11,5
351,0,5,9,6,3
352,0,2,3,3,2
353,0,5,11,7,9
354,0,5,10,6,4
355,0,3,4,4,3
356,0,5,5,7,7
357,0,3,6,3,3
358,0,7,8,10,6
359,0,3,6,4,4
360,0,4,10,6,6
361,0,7,12,8,5
362,0,4,4,7,4
363,0,3,4,4,3
364,0,4,4,4,3
365,0,5,9,6,6
366,0,6,9,7,3
367,0,2,3,4,3
368,0,5,6,7,8
369,0,4,2,5,4
370,0,5,10,8,11
371,0,6,6,8,5
372,0,1,0,2,0
373,0,4,6,7,4
374,0,5,11,7,9
375,0,3,7,5,5
376,0,6,8,9,10
377,0,9,13,11,6
378,0,5,5,6,4
379,0,9,12,11,6
380,0,5,8,8,9
381,0,5,6,8,4
382,0,3,3,4,2
383,0,6,10,8,8
384,0,6,7,8,6
385,0,3,7,4,4
386,0,5,6,7,5
387,0,4,7,5,3
388,0,5,5,6,5
389,0,6,9,7,4
390,0,3,6,4,2
391,0,15,15,15,8
392,0,4,7,5,3
393,0,1,0,2,1
394,0,1,0,2,0
395,0,3,7,4,4
396,0,6,9,8,8
397,0,3,4,6,3
398,0,6,8,8,9
399,0,5,8,7,6
400,0,4,10,5,6
401,0,5,8,8,5
402,0,4,5,4,4
403,0,5,11,6,8
404,0,8,11,12,8
405,0,4,8,6,7
406,0,7,9,10,8
407,0,4,7,5,3
408,0,4,5,7,4
409,0,5,11,6,4
410,0,2,1,3,2
411,0,4,4,6,3
412,0,4,8,4,3
413,0,4,4,5,3
414,0,5,11,6,4
415,0,4,4,6,4
416,0,5,5,6,4
417,0,5,6,7,8
418,0,7,9,10,7
419,0,8,8,11,12
420,0,6,7,9,10
421,0,5,8,6,7
422,0,7,11,8,7
423,0,5,7,5,4
424,0,5,7,7,7
425,0,6,11,8,5
426,0,1,0,2,1
427,0,7,10,10,7
428,0,4,6,5,4
429,0,5,7,6,7
430,0,5,5,7,5
431,0,7,11,10,11
432,0,5,10,6,6
433,0,4,4,8,4
434,0,5,6,6,4
435,0,1,0,2,1
436,0,4,7,6,5
437,0,11,11,11,5
438,0,4,9,6,7
439,0,5,10,7,8
440,0,5,7,7,4
441,0,2,1,2,1
442,0,4,1,5,3
443,0,5,6,6,4
444,0,5,6,7,5
445,0,6,10,8,9
446,0,7,11,10,10
447,0,4,7,5,3
448,0,3,3,5,3
449,0,4,8,6,7
450,0,3,4,5,3
451,0,2,0,2,1
452,0,2,1,3,2
453,0,2,1,2,1
454,0,1,0,2,1
455,0,4,2,5,4
456,0,13,14,13,6
457,0,7,9,10,12
458,0,4,5,7,4
459,0,7,7,10,11
460,0,5,6,8,5
461,0,2,3,4,2
462,0,3,3,4,3
463,0,2,0,2,1
464,0,3,3,4,3
465,0,5,10,6,4
466,0,3,3,4,3
467,0,2,3,3,2
468,0,5,10,7,7
469,0,3,4,5,3
470,0,3,5,6,4
471,0,2,1,3,3
472,0,3,6,4,3
473,0,4,6,5,2
474,0,11,12,11,6
475,0,4,6,7,6
476,0,5,11,6,4
477,0,6,9,8,10
478,0,9,13,10,6
479,0,1,0,2,0
480,0,5,8,7,6
481,0,7,8,9,6
482,0,4,8,7,8
483,0,5,8,7,8
484,0,5,10,7,4
485,0,5,8,8,5
486,0,6,9,8,10
487,0,15,15,15,7
488,0,3,3,5,3
489,0,2,3,3,2
490,0,5,8,5,3
491,0,3,2,5,3
492,0,5,7,7,4
493,0,3,6,4,4
494,0,2,1,2,1
495,0,7,9,9,8
496,0,5,5,6,4
497,0,4,3,5,3
498,0,4,6,4,2
499,0,7,9,9,8
500,0,2,3,4,2
501,0,1,0,2,1
502,0,3,1,4,3
503,0,5,2,6,4
504,0,4,4,4,3
505,0,7,11,9,9
506,0,4,8,4,3
507,0,5,5,5,4
508,0,6,9,7,4
509,0,10,12,10,5
510,0,5,10,7,4
511,0,4,7,6,8
512,0,5,10,8,7
513,0,5,6,8,4
514,0,7,8,10,6
515,0,3,1,4,3
516,0,5,11,8,11
517,0,3,6,5,5
518,0,5,9,7,7
519,0,5,11,6,4
520,0,6,10,9,7
521,0,5,9,6,6
522,0,5,6,8,8
523,0,2,3,4,2
524,0,3,3,4,2
525,0,4,2,5,4
526,0,2,3,4,3
527,0,5,9,5,6
528,0,3,1,4,3
529,0,4,7,7,5
530,0,3,4,5,3
531,0,3,6,6,6
532,0,3,4,4,3
533,0,7,9,10,6
534,0,6,5,7,4
535,0,4,9,6,7
536,0,4,8,6,7
537,0,7,13,8,5
538,0,6,10,7,4
539,0,3,3,4,2
540,0,5,6,8,5
541,0,5,8,6,5
542,0,3,3,5,2
543,0,7,12,8,4
544,0,7,9,11,6
545,0,4,8,4,5
546,0,3,6,6,7
547,0,5,9,7,4
548,0,2,3,4,2
549,0,7,9,10,8
550,0,6,5,9,8
551,0,7,8,10,11
552,0,3,1,4,3
553,0,6,10,9,7
554,0,3,6,5,4
555,0,4,6,5,2
556,0,6,9,8,11
557,0,4,7,5,3
558,0,5,7,8,6
559,0,4,9,5,3
560,0,3,7,4,5
561,0,8,10,8,5
562,0,5,9,8,10
563,0,7,9,10,8
564,0,3,6,5,5
565,0,2,1,3,1
566,0,3,5,6,4
567,0,3,4,5,3
568,0,5,9,7,6
569,0,5,11,9,12
570,0,7,8,9,10
571,0,5,9,5,3
572,0,5,8,6,3
573,0,5,9,6,6
574,0,10,14,10,5
575,0,4,7,7,7
576,0,5,10,8,6
577,0,4,5,7,4
578,0,8,9,12,12
579,0,5,9,6,6
580,0,8,9,11,13
581,0,4,4,7,3
582,0,3,7,5,5
583,0,5,10,5,4
584,0,6,10,7,4
585,0,6,6,9,9
586,0,3,4,5,3
587,0,12,12,12,6
588,0,5,10,8,7
589,0,5,3,5,3
590,0,5,8,8,5
591,0,6,7,9,6
592,0,6,8,8,10
593,0,9,9,13,14
594,0,7,11,11,8
595,0,5,2,6,4
596,0,3,7,4,3
597,0,6,11,9,11
598,0,5,6,7,5
599,0,11,15,10,6
600,0,4,7,4,3
601,0,6,10,9,6
602,0,4,7,5,4
603,0,5,9,8,8
604,0,6,10,8,9
605,0,4,10,5,6
606,0,6,9,9,7
607,0,4,5,5,4
608,0,3,6,4,2
609,0,4,8,6,6
610,0,7,11,11,15
611,0,3,6,4,2
612,0,4,1,5,3
613,0,5,11,5,7
614,0,4,7,5,4
615,0,7,9,10,7
616,0,5,6,8,4
617,0,14,14,14,7
618,0,4,8,5,5
619,0,3,4,5,3
620,0,5,8,9,10
621,0,5,10,8,6
622,0,4,7,6,6
623,0,6,10,9,7
624,0,5,9,6,6
625,0,6,5,7,4
626,0,4,11,5,7
627,0,2,1,3,1
628,0,5,9,6,4
629,0,5,11,7,9
630,0,9,14,11,7
631,0,2,3,3,2
632,0,3,4,5,3
633,0,3,7,4,3
634,0,7,9,9,4
635,0,2,1,3,3
636,0,8,9,11,8
637,0,5,10,6,4
638,0,8,9,11,13
639,0,4,4,5,3
640,0,5,10,7,10
641,0,5,7,8,6
642,0,6,12,7,5
643,0,3,4,6,3
644,0,6,10,8,9
645,0,9,12,12,5
646,0,1,0,2,1
647,0,5,5,8,4
648,0,4,10,6,6
649,0,5,5,6,4
650,0,8,11,11,7
651,0,2,0,3,1
652,0,4,6,6,5
653,0,7,10,10,6
654,0,3,7,5,5
655,0,6,8,8,8
656,0,2,0,2,1
657,0,4,1,5,3
658,0,6,10,8,9
659,0,4,5,7,4
660,0,6,9,7,6
661,0,5,9,7,6
662,0,6,9,9,7
663,0,4,4,6,4
664,0,7,9,11,8
665,0,5,8,8,7
666,0,4,5,5,4
667,0,6,8,9,5
668,0,14,15,14,7
669,0,7,10,9,9
670,0,5,6,5,4
671,0,3,6,3,2
672,0,4,5,5,4
673,0,1,0,2,0
674,0,4,6,7,8
675,0,5,10,5,4
676,0,5,10,6,4
677,0,2,1,2,1
678,0,2,4,4,3
679,0,4,8,5,5
680,0,4,6,5,3
681,0,5,5,8,4
682,0,6,10,10,13
683,0,4,5,7,4
684,0,3,3,4,2
685,0,4,6,7,5
686,0,5,9,5,6
687,0,1,0,2,1
688,0,8,9,11,7
689,0,3,3,5,3
690,0,3,2,4,3
691,0,5,11,6,4
692,0,11,15,11,6
693,0,6,8,8,8
694,0,5,8,7,6
695,0,7,7,10,7
696,0,4,8,5,5
697,0,4,7,7,4
698,0,10,13,12,6
699,0,3,7,4,4
700,0,3,7,4,4
701,0,9,10,13,10
702,0,3,6,4,2
703,0,8,10,12,9
704,0,7,6,7,4
705,0,6,5,8,7
706,0,3,2,4,4
707,0,11,14,11,6
708,0,7,10,9,11
709,0,7,8,9,10
710,0,6,7,9,9
711,0,2,1,3,2
712,0,3,3,4,3
713,0,5,9,7,7
714,0,4,5,6,4
715,0,8,10,10,5
716,0,1,0,1,1
717,0,5,7,8,5
718,0,6,10,9,8
719,0,3,5,5,4
720,0,5,6,7,5
721,0,5,7,7,8
722,0,1,1,2,1
723,0,4,8,4,5
724,0,3,7,4,3
725,0,7,9,10,6
726,0,3,6,4,4
727,0,4,7,6,4
728,0,7,7,10,10
729,0,6,9,8,6
730,0,3,4,4,3
731,0,4,9,5,6
732,0,5,9,8,8
733,0,4,2,5,3
734,0,5,8,7,5
735,0,7,8,10,7
736,0,6,11,9,7
737,0,6,9,7,3
738,0,14,15,14,7
739,0,5,7,7,8
740,0,2,1,3,2
741,0,4,9,5,5
742,0,8,10,12,9
743,0,5,9,8,7
744,0,5,9,8,11
745,0,8,11,10,13
746,0,4,7,5,5
747,0,4,4,5,3
748,0,4,7,6,4
749,0,8,12,9,5
750,0,3,4,4,3
751,0,2,3,3,2
752,0,7,13,8,5
753,0,4,6,6,4
754,0,6,8,9,10
755,0,5,9,6,4
756,0,4,5,7,4
757,0,5,11,9,12
758,0,7,9,10,6
759,0,9,9,12,13
760,0,4,8,6,5
761,0,5,7,7,5
762,0,6,12,8,5
763,0,5,10,7,9
764,0,5,8,5,5
765,0,6,9,9,11
766,0,4,6,5,4
767,0,6,11,10,14
768,0,3,4,5,3
769,0,3,7,4,3
770,0,4,4,5,3
771,0,5,5,7,6
772,0,5,9,7,8
773,0,6,10,7,4
774,0,10,11,10,5
775,0,6,10,6,4
776,0,3,1,4,3
777,0,2,3,3,2
778,0,4,4,5,4
779,0,2,0,2,1
780,0,7,7,9,7
781,0,9,13,11,6
782,0,11,12,11,5
783,0,3,3,4,2
784,0,3,3,5,2
785,0,3,6,4,2
786,0,8,9,11,12
787,0,5,10,6,4
788,0,4,3,4,3
789,0,5,8,7,7
790,0,6,9,10,12
791,0,5,6,8,5
792,1,7,11,9,8
793,1,2,4,4,2
794,1,5,10,6,6
795,1,8,10,8,4
796,1,2,7,3,1
797,1,6,9,6,4
798,1,3,4,5,1
799,1,2,2,4,2
800,1,4,10,6,2
801,1,4,11,6,1
802,1,3,10,5,1
803,1,3,8,6,1
804,1,3,3,5,1
805,1,4,5,5,2
806,1,5,7,5,2
807,1,5,11,6,2
808,1,2,6,4,1
809,1,9,9,8,5
810,1,3,3,4,1
811,1,4,9,6,2
812,1,5,6,5,3
813,1,2,1,3,0
814,1,6,6,8,8
815,1,3,7,5,2
816,1,4,6,6,3
817,1,4,5,6,6
818,1,3,10,5,2
819,1,3,8,5,3
820,1,2,4,4,1
821,1,2,7,4,2
822,1,1,0,1,0
823,1,10,12,8,5
824,1,3,3,4,1
825,1,7,9,7,4
826,1,8,11,8,4
827,1,4,11,6,3
828,1,2,1,4,1
829,1,4,10,6,1
830,1,5,10,7,6
831,1,2,7,3,2
832,1,4,7,6,2
833,1,3,5,4,2
834,1,2,7,4,2
835,1,1,1,2,0
836,1,2,4,3,1
837,1,2,1,2,0
838,1,2,6,3,0
839,1,3,10,5,1
840,1,4,4,5,7
841,1,6,10,8,7
842,1,3,10,5,3
843,1,3,8,5,2
844,1,6,8,8,10
845,1,6,9,6,4
846,1,4,7,4,2
847,1,9,9,7,5
848,1,3,8,5,1
849,1,3,9,6,1
850,1,7,9,5,4
851,1,2,3,4,0
852,1,4,10,6,2
853,1,1,1,2,0
854,1,5,8,5,2
855,1,5,10,7,3
856,1,1,3,2,1
857,1,3,9,5,2
858,1,4,7,6,3
859,1,6,11,9,8
860,1,4,5,5,5
861,1,2,3,3,0
862,1,6,11,6,3
863,1,5,6,5,3
864,1,9,9,7,5
865,1,4,5,5,2
866,1,5,8,5,3
867,1,3,4,5,1
868,1,6,12,5,3
869,1,3,5,5,2
870,1,6,8,8,12
871,1,4,10,6,1
872,1,4,8,4,2
873,1,5,9,5,3
874,1,8,10,6,5
875,1,6,9,6,3
876,1,3,5,5,1
877,1,8,10,7,4
878,1,7,6,6,4
879,1,4,5,5,7
880,1,4,4,5,5
881,1,3,5,5,6
882,1,7,10,7,3
883,1,2,4,4,1
884,1,9,12,8,5
885,1,4,6,6,1
886,1,3,6,5,1
887,1,3,9,5,1
888,1,7,10,7,3
889,1,5,7,7,10
890,1,4,7,5,5
891,1,7,6,6,3
892,1,2,1,2,0
893,1,5,5,7,8
894,1,7,9,6,3
895,1,5,8,5,3
896,1,6,8,6,2
897,1,4,7,6,9
898,1,7,6,5,4
899,1,3,9,5,1
900,1,6,11,9,5
901,1,6,9,5,2
902,1,1,1,2,1
903,1,5,7,6,9
904,1,3,5,4,6
905,1,6,9,5,3
906,1,4,5,5,7
907,1,5,6,6,6
908,1,7,9,7,3
909,1,4,7,6,3
910,1,3,7,5,2
911,1,3,6,5,8
912,1,2,1,3,0
913,1,2,5,4,2
914,1,1,1,3,1
915,1,3,6,5,1
916,1,2,7,3,0
917,1,5,10,8,5
918,1,4,10,6,3
919,1,3,5,5,7
920,1,3,9,5,1
921,1,3,10,5,1
922,1,5,9,5,3
923,1,7,9,7,4
924,1,7,15,6,4
925,1,6,9,6,3
926,1,3,7,5,4
927,1,6,9,8,7
928,1,2,1,3,1
929,1,3,5,5,2
930,1,4,5,5,2
931,1,4,8,6,3
932,1,3,4,5,1
933,1,4,5,5,2
934,1,3,8,6,3
935,1,6,8,9,12
936,1,4,9,4,2
937,1,1,1,2,0
938,1,4,10,6,3
939,1,2,8,3,1
940,1,1,0,2,0
941,1,1,0,2,0
942,1,3,4,5,6
943,1,3,6,4,2
944,1,7,11,7,5
945,1,3,3,4,1
946,1,5,8,5,2
947,1,9,13,8,4
948,1,4,7,6,3
949,1,3,7,5,1
950,1,1,0,2,0
951,1,3,2,5,2
952,1,3,5,4,6
953,1,5,6,6,9
954,1,4,7,6,10
955,1,4,9,5,1
956,1,3,5,4,2
957,1,2,7,4,1
958,1,9,15,8,4
959,1,7,11,6,3
960,1,1,0,2,0
961,1,8,14,6,4
962,1,5,6,6,8
963,1,3,6,5,2
964,1,9,8,7,5
965,1,2,1,3,0
966,1,4,6,6,8
967,1,5,8,5,4
968,1,5,10,5,3
969,1,3,7,5,2
970,1,7,8,7,3
971,1,2,3,3,1
972,1,7,10,6,4
973,1,4,11,7,4
974,1,4,6,6,7
975,1,2,3,2,1
976,1,3,6,4,1
977,1,4,9,6,3
978,1,3,5,4,2
979,1,5,9,5,3
980,1,4,10,7,3
981,1,3,7,4,4
982,1,3,7,4,4
983,1,2,3,2,1
984,1,4,4,6,1
985,1,9,15,8,5
986,1,2,3,4,1
987,1,4,4,6,6
988,1,7,8,6,5
989,1,7,9,7,4
990,1,3,8,5,1
991,1,3,5,4,5
992,1,6,10,6,3
993,1,5,8,7,11
994,1,2,2,3,1
995,1,5,7,6,3
996,1,9,12,8,5
997,1,9,11,9,6
998,1,7,9,7,3
999,1,3,7,5,1
1000,1,2,3,3,0
1001,1,0,0,1,0
1002,1,3,4,4,1
1003,1,4,5,5,2
1004,1,7,10,7,4
1005,1,8,7,6,4
1006,1,3,5,5,1
1007,1,6,6,5,4
1008,1,4,4,5,6
1009,1,1,0,2,0
1010,1,10,9,8,5
1011,1,2,2,4,2
1012,1,5,10,6,6
1013,1,4,11,5,3
1014,1,7,8,7,4
1015,1,3,5,5,2
1016,1,2,2,4,2
1017,1,4,4,5,2
1018,1,3,11,5,1
1019,1,4,6,6,8
1020,1,5,9,5,3
1021,1,4,10,5,1
1022,1,6,9,5,3
1023,1,5,5,6,6
1024,1,8,10,7,4
1025,1,1,3,2,1
1026,1,1,0,2,0
1027,1,3,9,5,1
1028,1,7,10,7,4
1029,1,2,1,3,0
1030,1,3,4,5,1
1031,1,7,11,8,6
1032,1,6,8,8,11
1033,1,9,15,8,5
1034,1,3,4,5,1
1035,1,4,5,5,2
1036,1,2,3,3,1
1037,1,7,11,7,4
1038,1,9,11,9,4
1039,1,1,0,2,0
1040,1,6,11,6,3
1041,1,5,10,7,3
1042,1,4,9,4,2
1043,1,3,3,4,1
1044,1,2,3,4,1
1045,1,3,7,4,1
1046,1,1,1,3,1
1047,1,3,2,5,2
1048,1,6,9,6,3
1049,1,3,5,5,2
1050,1,2,4,4,1
1051,1,7,7,7,4
1052,1,5,9,6,3
1053,1,5,7,7,10
1054,1,5,8,7,12
1055,1,3,6,5,2
1056,1,3,6,5,2
1057,1,8,14,7,4
1058,1,2,3,3,1
1059,1,2,3,4,1
1060,1,3,9,5,3
1061,1,5,11,7,1
1062,1,6,11,9,5
1063,1,3,5,5,1
1064,1,3,4,5,1
1065,1,3,8,5,1
1066,1,3,6,4,0
1067,1,3,7,5,1
1068,1,2,0,2,0
1069,1,8,11,8,4
1070,1,4,7,6,7
1071,1,4,7,4,1
1072,1,6,8,6,3
1073,1,9,10,9,5
1074,1,5,7,5,2
1075,1,2,3,4,1
1076,1,2,5,4,6
1077,1,1,1,2,0
1078,1,2,6,4,2
1079,1,3,5,5,7
1080,1,5,9,8,4
1081,1,6,9,6,3
1082,1,7,8,6,3
1083,1,7,8,6,4
1084,1,5,6,5,2
1085,1,5,6,5,2
1086,1,4,9,5,5
1087,1,1,0,2,0
1088,1,6,9,6,4
1089,1,3,5,5,6
1090,1,5,6,5,2
1091,1,4,5,5,2
1092,1,2,7,4,2
1093,1,4,6,4,2
1094,1,3,10,5,1
1095,1,4,8,6,3
1096,1,3,4,5,2
1097,1,7,7,6,4
1098,1,2,3,2,1
1099,1,4,6,4,2
1100,1,4,11,6,1
1101,1,4,5,6,1
1102,1,6,8,6,3
1103,1,3,4,5,2
1104,1,2,3,3,1
1105,1,7,9,7,5
1106,1,8,11,8,4
1107,1,7,9,7,5
1108,1,6,7,6,3
1109,1,3,5,4,6
1110,1,3,8,5,1
1111,1,5,11,7,4
1112,1,6,11,9,5
1113,1,6,8,7,8
1114,1,3,5,5,7
1115,1,2,0,2,0
1116,1,2,2,4,2
1117,1,5,7,6,5
1118,1,2,3,2,1
1119,1,3,4,5,1
1120,1,5,8,5,2
1121,1,2,5,4,2
1122,1,3,5,5,2
1123,1,1,0,2,0
1124,1,4,9,5,2
1125,1,3,5,4,2
1126,1,7,10,7,3
1127,1,5,7,5,3
1128,1,7,9,7,3
1129,1,2,3,4,1
1130,1,2,8,4,1
1131,1,2,4,3,1
1132,1,2,1,3,0
1133,1,5,8,5,2
1134,1,5,5,7,8
1135,1,4,7,6,9
1136,1,4,5,5,2
1137,1,3,8,5,1
1138,1,3,5,4,2
1139,1,1,0,2,0
1140,1,1,1,2,0
1141,1,5,9,7,6
1142,1,2,3,3,1
1143,1,7,10,7,3
1144,1,4,6,6,3
1145,1,6,9,6,4
1146,1,5,6,5,2
1147,1,3,5,5,1
1148,1,6,8,8,11
1149,1,2,5,4,2
1150,1,5,9,5,3
